Source,Reused-human,Final-annnotation
What is the value for 75cosÂ² 0.18Ï?,75 کوس اے² 0.18آئی ای  کی قیمت کیا ہے؟,H
When did Thanksgiving begin? When was it established as a national Holiday in the United States? Do other countries recognize Thanksgiving?,تھینکس گیونگ کب شروع ہوئی؟ ریاستہائے متحدہ میں اس کو قومی تعطیل کے طور پر کب قائم کیا گیا تھا؟ کیا دوسرے ممالک تھینکس گیونگ کو تسلیم کرتے ہیں؟,H
"According to the M-theory, there are 11 dimensions. Why are only 5 dimensions in regards to gravity addressed in Interstellar?",ایم تھیوری کے مطابق گیارہ جہتیں ہیں۔ انٹر اسٹیلر میں کشش ثقل کے حوالے سے صرف 5 جہتوں پر کیوں توجہ دی جارہی ہے؟,H
"Recently diagnosed with throat cancer, what diet/food can I eat to supplement my treatment? What is homeopathy and can it help?","گلے کے کینسر کے بارے میں حال ہی میں تشخیص کیا گیا ، میں اپنے علاج کی تکمیل کے ل کیا غذا / کھانا کھا سکتا ہوں؟ ہومیوپیتھی کیا ہے اور کیا اس سے مدد مل سکتی ہے؟",H
Does TripAdvisor allow Localites unmarried couple?,کیا ٹرپ ایڈسائزر مقامی لوگوں کو غیر شادی شدہ جوڑے کی اجازت دیتا ہے؟,H
Can I climb mount Everest without any previous mountaineering experience?,کیا میں ماؤنٹ ایورسٹ پر چڑھ سکتا ہوں بغیر کسی ماؤنٹینئرنگ کا تجربہ؟,H
How do you install Plex on Apple TV?,کس طرح آپ ایپل ٹی وی پر پلیکس میں انسٹال کروں؟,H
Why are days of the year biased toward certain days of the week?,سال کے دن ہفتے کے مخصوص دن کی طرف تعصب کیوں کرتے ہیں؟,H
Why invest in a high rise condo in Thailand?,تھائی لینڈ میں اعلی عروج کونڈو میں سرمایہ کاری کیوں؟,H
Which is the best college to do pre sea(DME)?,پری سی (ڈی ایم ای) کرنے کے لئے کون سا بہترین کالج ہے؟,H
How can I study linear algebra? Which books will help me in self study?,میں لکیری الجبرا کا مطالعہ کیسے کرسکتا ہوں؟ کون سی کتابیں خود مطالعہ میں میری مدد کریں گی؟,H
Which is the best digital marketing course?,بہترین ڈیجیٹل مارکیٹنگ کورس کون سا ہے؟,H
How did Ronald Reagan react to 9/11?,رونالڈ ریگن نے نائن الیون کے بارے میں کیا رد عمل ظاہر کیا؟,H
Careers: I am stuck in a telecom company from last 3 years? How do I get out of it? Please help.,کیریئر: میں پچھلے 3 سالوں سے ٹیلی کام کمپنی میں پھنس گیا ہوں؟ میں اس سے کیسے نکل سکتا ہوں؟ مدد کریں.,H
Should India make mandatory for every citizen to serve in the Army for at least 2 years?,کیا ہندوستان کو ہر شہری کے لئے کم سے کم 2 سال تک فوج میں خدمات انجام دینا لازمی قرار دینا چاہئے؟,H
Which is the best gaming laptop under 50k?,50 ہزار کے تحت کون سا بہترین گیمنگ لیپ ٹاپ ہے؟,H
How can I find my lost phone?,میں اپنا گمشدہ فون کیسے تلاش کرسکتا ہوں؟,H
"If you're uncircumcised, is it a good idea during a urine sample to pull back the foreskin, wipe off the glans, push the foreskin back, and pee?","اگر آپ غیر ختنہ ہوچکے ہیں تو ، کیا پیشاب کے نمونے کے دوران یہ بہتر ہے کہ آپ چمڑی کو واپس کھینچ لیں ، گلیوں کو مٹا دیں ، چمڑی کو پیچھے دھکیلیں اور پیشاب کریں؟",H
What is the space between subatomic particles considered to be?,سب سے زیادہ ذرات کی جگہ کیا ہے؟,H
What faction of the UK Conservative Party is most similar to the US Republican Party?,یو ایس کنزرویٹو پارٹی کا کون سا گروہ امریکی ریپبلکن پارٹی سے ملتا جلتا ہے؟,H
Is chi a form of energy?,کیا چی توانائی کی ایک قسم ہے؟,H
Which are some of the apps on Google Play/ios App Store having more than 10000 downloads/users?,گوگل پلے پر ایپس کی کچھ / ایپ اسٹور 10000 سے زائد ڈاؤن لوڈز / صارفین ہونے کے  کون ہیں؟,H
How do I address a woman if I don't know if she is married or single?,اگر میں نہیں جانتی ہوں کہ وہ شادی شدہ ہے یا کنواری,H
How do I blur the background in Canon 1200d?,میں 1200 12 1200D پس منظر کے لئے کس طرح دھندلا کر رہا ہوں؟,H
Who are the five greatest Hollywood movie directors ever and why?,اب تک کے پانچ سب سے بڑے ہالی ووڈ مووی ہدایتکار کون ہیں اور کیوں؟,H
What are the best & iconic movie posters?,بہترین اور مشہور مووی کے پوسٹر کیا ہیں؟,H
What is the purpose of my life? Why should I live?,میری زندگی کا مقصد کیا ہے؟ میں کیوں جیوں؟,H
Why am I able to do a finger pushup after training upper body and forearms?,اوپری جسم اور بازوؤں کی تربیت کے بعد میں کیوں فنگر پش اپ کرنے کے قابل ہوں؟,H
"How can I use ""have had"", ""has had"" and ""had had""?","میں کس طرح ""پڑا ہے"" کا استعمال کر سکتے ہیں، ""دیکھا گیا ہے"" اور ""تھی""؟",H
"Is the term ""evolution"" explained in Vedas?","کیا اصطلاح ""ارتقاء"" کی وضاحت ویدوں میں کی گئی ہے؟",H
What is the difference between Olark and Zopim?,اولارک اور زوپیم میں کیا فرق ہے؟,H
How dangerous are black snakes that have white stripes on their heads?,کالے سانپ کتنے خطرناک ہیں جن کے سروں پر سفید پٹیاں ہیں۔,H
Why do Skechers shoes smell?,سکیچرز کے جوتوں سے خوشبو کیوں آتی ہے؟,H
"As an insurance claims professional looking to enter into logistics and transportation as a planner, what is the optimum job title for which to apply?","جب ایک انشورنس دعوی کرتا ہے کہ پیشہ ور ایک منصوبہ ساز کے طور پر رسد اور نقل و حمل میں داخل ہونے کے خواہاں ہے تو ، درخواست دینے کے لئے زیادہ سے زیادہ ملازمت کا زیادہ سے زیادہ عنوان کیا ہوگا؟",H
"What are the characteristics of a female whose sun, moon, Venus, Mercury, Pluto and ascendant are all in Scorpio?","ایسی عورت کی کیا خصوصیات ہیں جس کا سورج ، چاند ، وینس ، مرکری ، پلوٹو اور چڑھنے والے سب کچھ اسوکو میں ہیں؟",H
How can I be handsome?,میں خوبصورت کیسے ہوسکتا ہوں؟,H
What is Wells Fargo's overdraft policy?,ویلز فارگو کی اوور ڈرافٹ پالیسی کیا ہے؟,H
Why is Google called Google?,گوگل کو گوگل کیوں کہا جاتا ہے؟,H
Does Los Angeles really look like Los Santos in GTA5?,ٹی اے یا لاس اینجلس واقعہ جی ٹی اے 5 میں لاس سینٹوز کی طرح نظر آتا ہے؟,H
How does a person detect if their weed was laced with rat poison?,ایک شخص کو کیسے پتہ چلتا ہے کہ اگر اس کی گھاس چوہوں کے زہر سے بندھی ہوئی تھی۔,H
Do musicians love their own music?,کیا موسیقاروں کو اپنی موسیقی پسند ہے؟,H
"Why does Oberon punish Titania in ""A Midsummer Night's Dream""?","اوبران ٹائٹینیا کو ""ا مڈسمر نائٹ ڈریم"" میں کیوں سزا دیتا ہے؟",H
"What hotel in Dehradun Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","پولیس ، ہوٹل کے عملے اور اخلاقی پولیس کو ہراساں کیے بغیر دہرادون ہل اسٹیشن کا کون سا ہوٹل غیر شادی شدہ جوڑوں کے لئے محفوظ ہوگا؟",H
Does gel cause hair loss?,جیل وجہ سے بالوں کے جھڑنے ہے؟,H
How can I see Unknown people in my dreams very clearly?,میں اپنے خوابوں میں انجانے لوگوں کو کس طرح دیکھ سکتا ہوں؟,H
Which is better the resin kitchen or the granite kitchen?,رال کا باورچی خانے یا گرینائٹ باورچی خانے کونسا بہتر ہے؟,H
What are some theories of life?,زندگی کے کچھ نظریات کیا ہیں؟,H
"Given a chance, what would you say to your future soul mate?","موقع ملنے پر ، آپ اپنے مستقبل کے ساتھی کو کیا کہیں گے؟",H
How do I transfer ola money to Bank?,کیا میں اولا کی رقم بینک اکاؤنٹ میں منتقل کرسکتا ہوں؟,H
How do I hide apps on an انڈروئد phone without rooting in any version of your انڈروئد?,میں آپ کے انڈروئد کے کسی بھی ورژن کی جڑ کے بغیر کسی انڈروئد فون پر اطلاقات کو کیسے چھپاؤں؟,H
How do startup accelerators give you the funding?,ابتدائیہ سرعت دینے والے آپ کو مالی اعانت کیسے دیتے ہیں؟,H
How can I use Framer.js? How do I install it or include them in an HTML page and start prototyping?,میں فریمر۔ جے ایس کیسے استعمال کرسکتا ہوں؟ میں اسے کیسے انسٹال کروں یا انہیں کسی ایچ ٹی ایم ایل صفحہ میں شامل کروں اور پروٹو ٹائپنگ شروع کروں؟,H
What are issues of problems facing organization?,تنظیم کو درپیش مسائل کے کیا مسائل ہیں؟,H
How do I change the registered mobile number for the DBS bank account?,میں ڈی بی ایس بینک اکاؤنٹ کے لئے رجسٹرڈ موبائل نمبر کو کیسے تبدیل کروں؟,H
How do you connect HDMI computer to VGA monitor?,آپ ایچ ڈی ایم آئی کمپیوٹر کو وی جی اے مانیٹر سے کیسے جوڑتے ہیں؟,H
Is there a meaning behind the Destiny logo?,کیا تقدیر کے لوگو کے پیچھے کوئی معنیٰ ہے؟,H
What is it like to live in the big cities of Jamaica compared to the ones in Mexico?,میکسیکو کے شہروں کے مقابلے جمیکا کے بڑے شہروں میں رہنا کیسا ہے؟,H
What is the purpose of your life?,آپ کی زندگی کا مقصد کیا ہے؟,H
How did pioneers cure rattlesnake bites back in the day?,طیس طرح علمبردار علاج سانپ کے دن میں کیا تھا؟,H
How do I play FarmVille on Google+?,میں گوگل + پر فارم وائل کیسے کھیل سکتا ہوں؟,H
Pitch a Marvel anthology series?,ایک چمتکار انتھولوجی سیریز پچ؟,H
What is state in constitution of India?,ہندوستان کے آئین میں ریاست کیا ہے؟,H
Is it good to do gym at morning and swimming at noon?,کیا صبح کرنا اور دوپہر کے وقت تیراکی کرنا اچھا ہے؟,H
What is spiritism?,شیطانیت کیا ہے؟,H
